State,County,msa,pop100,CountyName,MSAName,FMRType,StateName,State_Alpha,New_FMR0,New_FMR1,New_FMR2,New_FMR3,New_FMR4
1,15,450,112249,Calhoun County,"Anniston, AL MSA",40,Alabama,AL,279,330,413,576,652
1,81,580,115092,Lee County,"Auburn--Opelika, AL MSA",40,Alabama,AL,278,388,499,648,820
1,9,1000,51024,Blount County,"Birmingham, AL MSA",40,Alabama,AL,425,481,559,758,840
1,73,1000,662047,Jefferson County,"Birmingham, AL MSA",40,Alabama,AL,425,481,559,758,840
1,115,1000,64742,St. Clair County,"Birmingham, AL MSA",40,Alabama,AL,425,481,559,758,840
1,117,1000,143293,Shelby County,"Birmingham, AL MSA",40,Alabama,AL,425,481,559,758,840
1,113,1800,49756,Russell County,"Columbus, GA--AL MSA",40,Alabama,AL,377,419,503,656,712
1,79,2030,34803,Lawrence County,"Decatur, AL MSA",40,Alabama,AL,370,374,471,611,730
1,103,2030,111064,Morgan County,"Decatur, AL MSA",40,Alabama,AL,370,374,471,611,730
1,45,2180,49129,Dale County,"Dothan, AL MSA",40,Alabama,AL,335,343,426,586,595
1,69,2180,88787,Houston County,"Dothan, AL MSA",40,Alabama,AL,335,343,426,586,595
1,33,2650,54984,Colbert County,"Florence, AL MSA",40,Alabama,AL,315,361,464,579,649
1,77,2650,87966,Lauderdale County,"Florence, AL MSA",40,Alabama,AL,315,361,464,579,649
1,55,2880,103459,Etowah County,"Gadsden, AL MSA",40,Alabama,AL,279,341,393,511,629
1,83,3440,65676,Limestone County,"Huntsville, AL MSA",40,Alabama,AL,388,455,561,747,890
1,89,3440,276700,Madison County,"Huntsville, AL MSA",40,Alabama,AL,388,455,561,747,890
1,3,5160,140415,Baldwin County,"Mobile, AL MSA",40,Alabama,AL,407,455,523,703,825
1,97,5160,399843,Mobile County,"Mobile, AL MSA",40,Alabama,AL,407,455,523,703,825
1,1,5240,43671,Autauga County,"Montgomery, AL MSA",40,Alabama,AL,425,454,537,731,881
1,51,5240,65874,Elmore County,"Montgomery, AL MSA",40,Alabama,AL,425,454,537,731,881
1,101,5240,223510,Montgomery County,"Montgomery, AL MSA",40,Alabama,AL,425,454,537,731,881
1,125,8600,164875,Tuscaloosa County,"Tuscaloosa, AL MSA",40,Alabama,AL,367,392,523,717,758
1,5,10000,29038,Barbour County,,40,Alabama,AL,261,311,370,480,550
1,7,10000,20826,Bibb County,,40,Alabama,AL,261,311,370,500,599
1,11,10000,11714,Bullock County,,40,Alabama,AL,261,311,370,480,550
1,13,10000,21399,Butler County,,40,Alabama,AL,261,311,370,480,550
1,17,10000,36583,Chambers County,,40,Alabama,AL,261,311,370,480,551
1,19,10000,23988,Cherokee County,,40,Alabama,AL,261,311,370,480,550
1,21,10000,39593,Chilton County,,40,Alabama,AL,271,311,370,480,550
1,23,10000,15922,Choctaw County,,40,Alabama,AL,261,311,370,480,550
1,25,10000,27867,Clarke County,,40,Alabama,AL,261,311,370,480,550
1,27,10000,14254,Clay County,,40,Alabama,AL,261,311,370,480,550
1,29,10000,14123,Cleburne County,,40,Alabama,AL,261,311,370,480,550
1,31,10000,43615,Coffee County,,40,Alabama,AL,261,367,477,663,744
1,35,10000,14089,Conecuh County,,40,Alabama,AL,261,311,370,480,550
1,37,10000,12202,Coosa County,,40,Alabama,AL,261,311,370,480,550
1,39,10000,37631,Covington County,,40,Alabama,AL,261,311,370,480,550
1,41,10000,13665,Crenshaw County,,40,Alabama,AL,261,311,370,480,550
1,43,10000,77483,Cullman County,,40,Alabama,AL,261,311,370,492,598
1,47,10000,46365,Dallas County,,40,Alabama,AL,261,311,370,480,550
1,49,10000,64452,DeKalb County,,40,Alabama,AL,261,311,370,480,550
1,53,10000,38440,Escambia County,,40,Alabama,AL,261,311,370,480,550
1,57,10000,18495,Fayette County,,40,Alabama,AL,261,311,370,480,550
1,59,10000,31223,Franklin County,,40,Alabama,AL,261,311,370,480,550
1,61,10000,25764,Geneva County,,40,Alabama,AL,261,311,370,480,550
1,63,10000,9974,Greene County,,40,Alabama,AL,261,311,370,480,550
1,65,10000,17185,Hale County,,40,Alabama,AL,261,311,370,480,550
1,67,10000,16310,Henry County,,40,Alabama,AL,261,311,370,480,550
1,71,10000,53926,Jackson County,,40,Alabama,AL,282,311,370,480,589
1,75,10000,15904,Lamar County,,40,Alabama,AL,261,311,370,480,550
1,85,10000,13473,Lowndes County,,40,Alabama,AL,261,311,370,480,550
1,87,10000,24105,Macon County,,40,Alabama,AL,285,320,427,535,599
1,91,10000,22539,Marengo County,,40,Alabama,AL,261,311,370,480,550
1,93,10000,31214,Marion County,,40,Alabama,AL,261,311,370,480,550
1,95,10000,82231,Marshall County,,40,Alabama,AL,300,311,378,522,619
1,99,10000,24324,Monroe County,,40,Alabama,AL,261,311,370,480,550
1,105,10000,11861,Perry County,,40,Alabama,AL,261,311,370,480,550
1,107,10000,20949,Pickens County,,40,Alabama,AL,261,311,370,480,550
1,109,10000,29605,Pike County,,40,Alabama,AL,313,364,434,563,656
1,111,10000,22380,Randolph County,,40,Alabama,AL,261,311,370,480,550
1,119,10000,14798,Sumter County,,40,Alabama,AL,261,311,370,480,550
1,121,10000,80321,Talladega County,,40,Alabama,AL,261,311,370,480,550
1,123,10000,41475,Tallapoosa County,,40,Alabama,AL,262,311,370,480,550
1,127,10000,70713,Walker County,,40,Alabama,AL,261,322,380,491,624
1,129,10000,18097,Washington County,,40,Alabama,AL,261,311,370,480,550
1,131,10000,13183,Wilcox County,,40,Alabama,AL,261,311,370,480,550
1,133,10000,24843,Winston County,,40,Alabama,AL,261,311,370,480,550
2,20,380,260283,Anchorage Municipality,"Anchorage, AK MSA",40,Alaska,AK,565,668,885,1231,1454
2,13,10000,2697,Aleutians East Borough,,40,Alaska,AK,563,635,718,895,1172
2,16,10000,5465,Aleutians West Census Area,,40,Alaska,AK,484,547,612,769,860
2,50,10000,16006,Bethel Census Area,,40,Alaska,AK,729,910,1154,1445,1617
2,60,10000,1258,Bristol Bay Borough,,40,Alaska,AK,584,675,757,1054,1145
2,68,10000,1893,Denali Borough,,40,Alaska,AK,784,905,1153,1533,1593
2,70,10000,4922,Dillingham Census Area,,40,Alaska,AK,704,716,951,1190,1333
2,90,10000,82840,Fairbanks North Star Borough,,40,Alaska,AK,444,604,793,1090,1285
2,100,10000,2392,Haines Borough,,40,Alaska,AK,525,650,740,1006,1037
2,110,10000,30711,Juneau City and Borough,,40,Alaska,AK,784,905,1153,1533,1593
2,122,10000,49691,Kenai Peninsula Borough,,40,Alaska,AK,478,608,733,1017,1201
2,130,10000,14070,Ketchikan Gateway Borough,,40,Alaska,AK,576,705,943,1313,1382
2,150,10000,13913,Kodiak Island Borough,,40,Alaska,AK,749,824,1071,1338,1736
2,164,10000,1823,Lake and Peninsula Borough,,40,Alaska,AK,450,730,820,1023,1149
2,170,10000,59322,Matanuska-Susitna Borough,,40,Alaska,AK,504,682,768,1042,1231
2,180,10000,9196,Nome Census Area,,40,Alaska,AK,741,917,1030,1434,1618
2,185,10000,7385,North Slope Borough,,40,Alaska,AK,842,862,1067,1482,1727
2,188,10000,7208,Northwest Arctic Borough,,40,Alaska,AK,892,1003,1126,1567,1848
2,201,10000,6146,Prince of Wales-Outer Ketchikan Census Area,,40,Alaska,AK,393,625,720,998,1055
2,220,10000,8835,Sitka City and Borough,,40,Alaska,AK,620,737,827,1151,1358
2,232,10000,3436,Skagway-Hoonah-Angoon Census Area,,40,Alaska,AK,482,490,634,795,892
2,240,10000,6174,Southeast Fairbanks Census Area,,40,Alaska,AK,494,519,625,783,879
2,261,10000,10195,Valdez-Cordova Census Area,,40,Alaska,AK,589,722,801,1023,1220
2,270,10000,7028,Wade Hampton Census Area,,40,Alaska,AK,422,634,716,894,1001
2,280,10000,6684,Wrangell-Petersburg Census Area,,40,Alaska,AK,429,632,769,978,1075
2,282,10000,808,Yakutat City and Borough,,40,Alaska,AK,482,490,634,795,892
2,290,10000,6551,Yukon-Koyukuk Census Area,,40,Alaska,AK,561,633,714,893,1033
4,5,2620,116320,Coconino County,"Flagstaff, AZ--UT MSA",40,Arizona,AZ,633,683,887,1190,1429
4,15,4120,155032,Mohave County,"Las Vegas, NV--AZ MSA",50,Arizona,AZ,606,719,856,1191,1407
4,13,6200,3072149,Maricopa County,"Phoenix--Mesa, AZ MSA",50,Arizona,AZ,549,664,835,1161,1367
4,21,6200,179727,Pinal County,"Phoenix--Mesa, AZ MSA",50,Arizona,AZ,549,664,835,1161,1367
4,19,8520,843746,Pima County,"Tucson, AZ MSA",40,Arizona,AZ,443,531,707,983,1159
4,27,9360,160026,Yuma County,"Yuma, AZ MSA",40,Arizona,AZ,427,495,659,915,922
4,1,10000,69423,Apache County,,40,Arizona,AZ,402,422,537,701,833
4,3,10000,117755,Cochise County,,40,Arizona,AZ,402,422,537,701,833
4,7,10000,51335,Gila County,,40,Arizona,AZ,402,422,537,701,833
4,9,10000,33489,Graham County,,40,Arizona,AZ,402,422,537,701,833
4,11,10000,8547,Greenlee County,,40,Arizona,AZ,402,422,537,701,833
4,12,10000,19715,La Paz County,,40,Arizona,AZ,402,422,537,701,833
4,17,10000,97470,Navajo County,,40,Arizona,AZ,402,422,537,701,833
4,23,10000,38381,Santa Cruz County,,40,Arizona,AZ,402,444,553,701,833
4,25,10000,167517,Yavapai County,,40,Arizona,AZ,427,444,594,828,912
5,7,2580,153406,Benton County,"Fayetteville--Springdale--Rogers, AR MSA",40,Arkansas,AR,330,416,547,738,764
5,143,2580,157715,Washington County,"Fayetteville--Springdale--Rogers, AR MSA",40,Arkansas,AR,330,416,547,738,764
5,33,2720,53247,Crawford County,"Fort Smith, AR--OK MSA",40,Arkansas,AR,359,363,479,639,671
5,131,2720,115071,Sebastian County,"Fort Smith, AR--OK MSA",40,Arkansas,AR,359,363,479,639,671
5,31,3700,82148,Craighead County,"Jonesboro, AR MSA",40,Arkansas,AR,389,423,498,685,724
5,45,4400,86014,Faulkner County,"Little Rock--North Little Rock, AR MSA",40,Arkansas,AR,406,451,538,742,867
5,85,4400,52828,Lonoke County,"Little Rock--North Little Rock, AR MSA",40,Arkansas,AR,406,451,538,742,867
5,119,4400,361474,Pulaski County,"Little Rock--North Little Rock, AR MSA",40,Arkansas,AR,406,451,538,742,867
5,125,4400,83529,Saline County,"Little Rock--North Little Rock, AR MSA",40,Arkansas,AR,406,451,538,742,867
5,35,4920,50866,Crittenden County,"Memphis, TN--AR--MS MSA",40,Arkansas,AR,458,534,626,870,913
5,69,6240,84278,Jefferson County,"Pine Bluff, AR MSA",40,Arkansas,AR,311,369,486,613,795
5,91,8360,40443,Miller County,"Texarkana, TX--Texarkana, AR MSA",40,Arkansas,AR,331,404,495,652,692
5,1,10000,20749,Arkansas County,,40,Arkansas,AR,279,303,388,530,575
5,3,10000,24209,Ashley County,,40,Arkansas,AR,255,303,388,514,608
5,5,10000,38386,Baxter County,,40,Arkansas,AR,255,324,431,554,675
5,9,10000,33948,Boone County,,40,Arkansas,AR,302,307,408,568,669
5,11,10000,12600,Bradley County,,40,Arkansas,AR,255,303,388,514,575
5,13,10000,5744,Calhoun County,,40,Arkansas,AR,255,303,388,514,575
5,15,10000,25357,Carroll County,,40,Arkansas,AR,300,327,388,514,614
5,17,10000,14117,Chicot County,,40,Arkansas,AR,255,303,388,514,575
5,19,10000,23546,Clark County,,40,Arkansas,AR,279,303,393,514,621
5,21,10000,17609,Clay County,,40,Arkansas,AR,255,303,388,514,575
5,23,10000,24046,Cleburne County,,40,Arkansas,AR,288,303,388,514,582
5,25,10000,8571,Cleveland County,,40,Arkansas,AR,255,303,388,514,575
5,27,10000,25603,Columbia County,,40,Arkansas,AR,255,303,388,514,575
5,29,10000,20336,Conway County,,40,Arkansas,AR,255,314,421,526,589
5,37,10000,19526,Cross County,,40,Arkansas,AR,265,335,388,521,615
5,39,10000,9210,Dallas County,,40,Arkansas,AR,255,303,388,514,575
5,41,10000,15341,Desha County,,40,Arkansas,AR,255,303,388,514,575
5,43,10000,18723,Drew County,,40,Arkansas,AR,255,330,440,609,620
5,47,10000,17771,Franklin County,,40,Arkansas,AR,267,303,388,514,575
5,49,10000,11642,Fulton County,,40,Arkansas,AR,264,303,388,514,575
5,51,10000,88068,Garland County,,40,Arkansas,AR,255,324,434,606,716
5,53,10000,16464,Grant County,,40,Arkansas,AR,265,314,388,514,580
5,55,10000,37331,Greene County,,40,Arkansas,AR,273,303,388,514,575
5,57,10000,23587,Hempstead County,,40,Arkansas,AR,255,303,388,514,575
5,59,10000,30353,Hot Spring County,,40,Arkansas,AR,255,303,388,514,575
5,61,10000,14300,Howard County,,40,Arkansas,AR,255,303,388,514,575
5,63,10000,34233,Independence County,,40,Arkansas,AR,268,310,388,514,575
5,65,10000,13249,Izard County,,40,Arkansas,AR,255,303,388,514,575
5,67,10000,18418,Jackson County,,40,Arkansas,AR,264,303,388,514,575
5,71,10000,22781,Johnson County,,40,Arkansas,AR,255,303,388,514,575
5,73,10000,8559,Lafayette County,,40,Arkansas,AR,267,303,388,514,575
5,75,10000,17774,Lawrence County,,40,Arkansas,AR,255,303,388,514,575
5,77,10000,12580,Lee County,,40,Arkansas,AR,280,303,388,514,575
5,79,10000,14492,Lincoln County,,40,Arkansas,AR,275,303,394,527,575
5,81,10000,13628,Little River County,,40,Arkansas,AR,255,303,394,547,645
5,83,10000,22486,Logan County,,40,Arkansas,AR,267,303,388,514,575
5,87,10000,14243,Madison County,,40,Arkansas,AR,292,303,394,514,575
5,89,10000,16140,Marion County,,40,Arkansas,AR,255,303,388,514,575
5,93,10000,51979,Mississippi County,,40,Arkansas,AR,291,314,421,555,623
5,95,10000,10254,Monroe County,,40,Arkansas,AR,259,303,388,514,575
5,97,10000,9245,Montgomery County,,40,Arkansas,AR,255,303,388,514,575
5,99,10000,9955,Nevada County,,40,Arkansas,AR,255,303,388,531,575
5,101,10000,8608,Newton County,,40,Arkansas,AR,255,303,388,514,575
5,103,10000,28790,Ouachita County,,40,Arkansas,AR,298,303,388,535,631
5,105,10000,10209,Perry County,,40,Arkansas,AR,255,303,388,514,575
5,107,10000,26445,Phillips County,,40,Arkansas,AR,255,303,388,514,575
5,109,10000,11303,Pike County,,40,Arkansas,AR,255,303,388,514,575
5,111,10000,25614,Poinsett County,,40,Arkansas,AR,255,303,388,514,575
5,113,10000,20229,Polk County,,40,Arkansas,AR,255,303,388,514,575
5,115,10000,54469,Pope County,,40,Arkansas,AR,255,333,421,584,673
5,117,10000,9539,Prairie County,,40,Arkansas,AR,255,303,388,514,575
5,121,10000,18195,Randolph County,,40,Arkansas,AR,255,303,388,514,575
5,123,10000,29329,St. Francis County,,40,Arkansas,AR,255,309,388,525,617
5,127,10000,10996,Scott County,,40,Arkansas,AR,255,303,388,514,575
5,129,10000,8261,Searcy County,,40,Arkansas,AR,255,303,388,514,575
5,133,10000,15757,Sevier County,,40,Arkansas,AR,278,303,388,514,575
5,135,10000,17119,Sharp County,,40,Arkansas,AR,255,303,388,514,575
5,137,10000,11499,Stone County,,40,Arkansas,AR,255,303,388,514,575
5,139,10000,45629,Union County,,40,Arkansas,AR,319,337,405,544,665
5,141,10000,16192,Van Buren County,,40,Arkansas,AR,255,303,388,514,634
5,145,10000,67165,White County,,40,Arkansas,AR,255,303,388,531,575
5,147,10000,8741,Woodruff County,,40,Arkansas,AR,255,303,388,514,575
5,149,10000,21139,Yell County,,40,Arkansas,AR,265,303,388,514,575
6,29,680,661645,Kern County,"Bakersfield, CA MSA",40,California,CA,421,473,595,826,914
6,7,1620,203171,Butte County,"Chico--Paradise, CA MSA",40,California,CA,385,496,660,905,1082
6,19,2840,799407,Fresno County,"Fresno, CA MSA",40,California,CA,451,504,603,840,967
6,39,2840,123109,Madera County,"Fresno, CA MSA",40,California,CA,451,504,603,840,967
6,37,4480,9519338,Los Angeles County,"Los Angeles--Long Beach, CA PMSA",40,California,CA,674,807,1021,1378,1646
6,47,4940,210554,Merced County,"Merced, CA MSA",40,California,CA,460,519,630,871,1027
6,99,5170,446997,Stanislaus County,"Modesto, CA MSA",40,California,CA,549,589,719,1002,1182
6,1,5775,1443741,Alameda County,"Oakland, CA PMSA",50,California,CA,936,1132,1420,1947,2325
6,13,5775,948816,Contra Costa County,"Oakland, CA PMSA",50,California,CA,936,1132,1420,1947,2325
6,59,5945,2846289,Orange County,"Orange County, CA PMSA",50,California,CA,903,987,1220,1698,1889
6,89,6690,163256,Shasta County,"Redding, CA MSA",40,California,CA,438,486,608,844,994
6,65,6780,1545387,Riverside County,"Riverside--San Bernardino, CA PMSA",40,California,CA,535,596,729,1011,1193
6,71,6780,1709434,San Bernardino County,"Riverside--San Bernardino, CA PMSA",40,California,CA,535,596,729,1011,1193
6,17,6920,156299,El Dorado County,"Sacramento, CA PMSA",50,California,CA,674,759,950,1318,1554
6,61,6920,248399,Placer County,"Sacramento, CA PMSA",50,California,CA,674,759,950,1318,1554
6,67,6920,1223499,Sacramento County,"Sacramento, CA PMSA",50,California,CA,674,759,950,1318,1554
6,53,7120,401762,Monterey County,"Salinas, CA MSA",40,California,CA,719,841,1014,1408,1478
6,73,7320,2813833,San Diego County,"San Diego, CA MSA",50,California,CA,822,939,1175,1636,1928
6,41,7360,247289,Marin County,"San Francisco, CA PMSA",40,California,CA,1084,1405,1775,2435,2577
6,75,7360,776733,San Francisco County,"San Francisco, CA PMSA",40,California,CA,1084,1405,1775,2435,2577
6,81,7360,707161,San Mateo County,"San Francisco, CA PMSA",40,California,CA,1084,1405,1775,2435,2577
6,85,7400,1682585,Santa Clara County,"San Jose, CA PMSA",50,California,CA,1294,1475,1821,2496,2803
6,79,7460,246681,San Luis Obispo County,"San Luis Obispo--Atascadero--Paso Robles, CA MSA",40,California,CA,641,724,917,1276,1505
6,83,7480,399347,Santa Barbara County,"Santa Barbara--Santa Maria--Lompoc, CA MSA",40,California,CA,721,800,1015,1412,1595
6,87,7485,255602,Santa Cruz County,"Santa Cruz--Watsonville, CA PMSA",40,California,CA,843,1004,1341,1865,2185
6,97,7500,458614,Sonoma County,"Santa Rosa, CA PMSA",40,California,CA,792,897,1163,1617,1909
6,77,8120,563598,San Joaquin County,"Stockton--Lodi, CA MSA",40,California,CA,522,589,757,1054,1242
6,55,8720,124279,Napa County,"Vallejo--Fairfield--Napa, CA PMSA",40,California,CA,809,920,1121,1557,1836
6,95,8720,394542,Solano County,"Vallejo--Fairfield--Napa, CA PMSA",40,California,CA,809,920,1121,1557,1836
6,111,8735,753197,Ventura County,"Ventura, CA PMSA",50,California,CA,785,902,1142,1518,1769
6,107,8780,368021,Tulare County,"Visalia--Tulare--Porterville, CA MSA",40,California,CA,427,455,592,826,943
6,113,9270,168660,Yolo County,"Yolo, CA PMSA",40,California,CA,551,628,779,1077,1274
6,101,9340,78930,Sutter County,"Yuba City, CA MSA",40,California,CA,380,444,571,796,919
6,115,9340,60219,Yuba County,"Yuba City, CA MSA",40,California,CA,380,444,571,796,919
6,3,10000,1208,Alpine County,,40,California,CA,341,512,579,804,865
6,5,10000,35100,Amador County,,40,California,CA,471,518,692,963,1074
6,9,10000,40554,Calaveras County,,40,California,CA,412,477,635,885,1041
6,11,10000,18804,Colusa County,,40,California,CA,373,417,537,748,865
6,15,10000,27507,Del Norte County,,40,California,CA,348,478,635,886,1043
6,21,10000,26453,Glenn County,,40,California,CA,341,417,537,748,865
6,23,10000,126518,Humboldt County,,40,California,CA,352,487,638,891,1054
6,25,10000,142361,Imperial County,,40,California,CA,384,482,593,826,865
6,27,10000,17945,Inyo County,,40,California,CA,354,477,612,803,865
6,31,10000,129461,Kings County,,40,California,CA,395,460,574,799,940
6,33,10000,58309,Lake County,,40,California,CA,383,488,653,821,1070
6,35,10000,33828,Lassen County,,40,California,CA,417,422,549,748,865
6,43,10000,17130,Mariposa County,,40,California,CA,369,469,602,789,930
6,45,10000,86265,Mendocino County,,40,California,CA,472,568,698,971,979
6,49,10000,9449,Modoc County,,40,California,CA,373,417,537,748,865
6,51,10000,12853,Mono County,,40,California,CA,520,624,830,1154,1364
6,57,10000,92033,Nevada County,,40,California,CA,427,584,778,1081,1252
6,63,10000,20824,Plumas County,,40,California,CA,376,417,537,748,865
6,69,10000,53234,San Benito County,,40,California,CA,587,691,864,1205,1409
6,91,10000,3555,Sierra County,,40,California,CA,341,458,563,782,923
6,93,10000,44301,Siskiyou County,,40,California,CA,358,417,537,748,865
6,103,10000,56039,Tehama County,,40,California,CA,357,417,537,748,865
6,105,10000,13022,Trinity County,,40,California,CA,382,417,537,748,865
6,109,10000,54501,Tuolumne County,,40,California,CA,377,515,687,956,1127
8,13,1125,291288,Boulder County,"Boulder--Longmont, CO PMSA",40,Colorado,CO,640,767,983,1371,1615
8,41,1720,516929,El Paso County,"Colorado Springs, CO MSA",40,Colorado,CO,490,526,701,977,1153
8,1,2080,363857,Adams County,"Denver, CO PMSA",50,Colorado,CO,607,724,964,1337,1579
8,5,2080,487967,Arapahoe County,"Denver, CO PMSA",50,Colorado,CO,607,724,964,1337,1579
8,31,2080,554636,Denver County,"Denver, CO PMSA",50,Colorado,CO,607,724,964,1337,1579
8,35,2080,175766,Douglas County,"Denver, CO PMSA",50,Colorado,CO,607,724,964,1337,1579
8,59,2080,527056,Jefferson County,"Denver, CO PMSA",50,Colorado,CO,607,724,964,1337,1579
8,69,2670,251494,Larimer County,"Fort Collins--Loveland, CO MSA",40,Colorado,CO,484,597,739,1026,1212
8,77,2995,116255,Mesa County,"Grand Junction, CO MSA",40,Colorado,CO,445,463,579,780,929
8,123,3060,180936,Weld County,"Greeley, CO PMSA",40,Colorado,CO,536,592,745,1034,1223
8,101,6560,141472,Pueblo County,"Pueblo, CO MSA",40,Colorado,CO,469,486,608,818,976
8,3,10000,14966,Alamosa County,,40,Colorado,CO,419,434,543,732,873
8,7,10000,9898,Archuleta County,,40,Colorado,CO,501,548,648,875,1040
8,9,10000,4517,Baca County,,40,Colorado,CO,419,434,543,732,873
8,11,10000,5998,Bent County,,40,Colorado,CO,419,434,543,732,873
8,15,10000,16242,Chaffee County,,40,Colorado,CO,419,434,543,732,873
8,17,10000,2231,Cheyenne County,,40,Colorado,CO,419,434,543,732,873
8,19,10000,9322,Clear Creek County,,40,Colorado,CO,419,489,552,769,905
8,21,10000,8400,Conejos County,,40,Colorado,CO,419,434,543,732,873
8,23,10000,3663,Costilla County,,40,Colorado,CO,419,434,543,732,873
8,25,10000,5518,Crowley County,,40,Colorado,CO,419,434,543,732,873
8,27,10000,3503,Custer County,,40,Colorado,CO,419,434,543,732,873
8,29,10000,27834,Delta County,,40,Colorado,CO,419,434,543,732,873
8,33,10000,1844,Dolores County,,40,Colorado,CO,419,434,543,732,873
8,37,10000,41659,Eagle County,,40,Colorado,CO,562,614,818,1139,1343
8,39,10000,19872,Elbert County,,40,Colorado,CO,463,512,587,732,961
8,43,10000,46145,Fremont County,,40,Colorado,CO,419,434,543,732,873
8,45,10000,43791,Garfield County,,40,Colorado,CO,486,521,658,822,1077
8,47,10000,4757,Gilpin County,,40,Colorado,CO,419,556,708,933,1032
8,49,10000,12442,Grand County,,40,Colorado,CO,498,502,635,795,963
8,51,10000,13956,Gunnison County,,40,Colorado,CO,419,434,543,732,873
8,53,10000,790,Hinsdale County,,40,Colorado,CO,419,443,543,732,873
8,55,10000,7862,Huerfano County,,40,Colorado,CO,419,434,543,732,873
8,57,10000,1577,Jackson County,,40,Colorado,CO,419,434,543,732,873
8,61,10000,1622,Kiowa County,,40,Colorado,CO,419,434,543,732,873
8,63,10000,8011,Kit Carson County,,40,Colorado,CO,419,434,543,732,873
8,65,10000,7812,Lake County,,40,Colorado,CO,419,434,543,732,873
8,67,10000,43941,La Plata County,,40,Colorado,CO,547,605,797,1110,1311
8,71,10000,15207,Las Animas County,,40,Colorado,CO,419,448,543,732,873
8,73,10000,6087,Lincoln County,,40,Colorado,CO,419,434,543,732,873
8,75,10000,20504,Logan County,,40,Colorado,CO,419,434,543,732,873
8,79,10000,831,Mineral County,,40,Colorado,CO,419,434,543,732,873
8,81,10000,13184,Moffat County,,40,Colorado,CO,419,434,543,732,873
8,83,10000,23830,Montezuma County,,40,Colorado,CO,419,434,543,732,873
8,85,10000,33432,Montrose County,,40,Colorado,CO,419,434,549,762,897
8,87,10000,27171,Morgan County,,40,Colorado,CO,419,434,543,732,873
8,89,10000,20311,Otero County,,40,Colorado,CO,419,434,543,732,873
8,91,10000,3742,Ouray County,,40,Colorado,CO,419,434,549,732,889
8,93,10000,14523,Park County,,40,Colorado,CO,419,464,604,838,954
8,95,10000,4480,Phillips County,,40,Colorado,CO,419,434,543,732,873
8,97,10000,14872,Pitkin County,,40,Colorado,CO,628,860,1145,1510,1717
8,99,10000,14483,Prowers County,,40,Colorado,CO,419,434,543,732,873
8,103,10000,5986,Rio Blanco County,,40,Colorado,CO,419,434,543,732,873
8,105,10000,12413,Rio Grande County,,40,Colorado,CO,419,434,543,732,873
8,107,10000,19690,Routt County,,40,Colorado,CO,419,506,668,929,1095
8,109,10000,5917,Saguache County,,40,Colorado,CO,419,434,543,732,873
8,111,10000,558,San Juan County,,40,Colorado,CO,419,434,543,732,873
8,113,10000,6594,San Miguel County,,40,Colorado,CO,770,1112,1223,1527,1972
8,115,10000,2747,Sedgwick County,,40,Colorado,CO,419,434,543,732,873
8,117,10000,23548,Summit County,,40,Colorado,CO,539,645,828,1152,1418
8,119,10000,20555,Teller County,,40,Colorado,CO,419,497,661,919,927
8,121,10000,4926,Washington County,,40,Colorado,CO,419,434,543,732,873
8,125,10000,9841,Yuma County,,40,Colorado,CO,419,434,543,732,873
9,1,1160,345708,Fairfield County,"Bridgeport, CT PMSA",40,Connecticut,CT,575,748,900,1126,1404
9,9,1160,113771,New Haven County,"Bridgeport, CT PMSA",40,Connecticut,CT,575,748,900,1126,1404
9,1,1930,183303,Fairfield County,"Danbury, CT PMSA",40,Connecticut,CT,725,867,1084,1430,1649
9,5,1930,34677,Litchfield County,"Danbury, CT PMSA",40,Connecticut,CT,725,867,1084,1430,1649
9,3,3280,855171,Hartford County,"Hartford, CT MSA",40,Connecticut,CT,519,647,827,1037,1259
9,5,3280,37163,Litchfield County,"Hartford, CT MSA",40,Connecticut,CT,519,647,827,1037,1259
9,7,3280,104442,Middlesex County,"Hartford, CT MSA",40,Connecticut,CT,519,647,827,1037,1259
9,11,3280,21458,New London County,"Hartford, CT MSA",40,Connecticut,CT,519,647,827,1037,1259
9,13,3280,135671,Tolland County,"Hartford, CT MSA",40,Connecticut,CT,519,647,827,1037,1259
9,15,3280,29205,Windham County,"Hartford, CT MSA",40,Connecticut,CT,519,647,827,1037,1259
9,7,5480,19112,Middlesex County,"New Haven--Meriden, CT PMSA",40,Connecticut,CT,620,761,939,1204,1395
9,9,5480,523037,New Haven County,"New Haven--Meriden, CT PMSA",40,Connecticut,CT,620,761,939,1204,1395
9,7,5520,10367,Middlesex County,"New London--Norwich, CT--RI MSA",40,Connecticut,CT,541,654,797,997,1140
9,11,5520,233086,New London County,"New London--Norwich, CT--RI MSA",40,Connecticut,CT,541,654,797,997,1140
9,15,5520,19311,Windham County,"New London--Norwich, CT--RI MSA",40,Connecticut,CT,541,654,797,997,1140
9,1,8040,353556,Fairfield County,"Stamford--Norwalk, CT PMSA",40,Connecticut,CT,1046,1225,1493,2001,2210
9,5,8880,41784,Litchfield County,"Waterbury, CT PMSA",40,Connecticut,CT,526,711,881,1098,1231
9,9,8880,187200,New Haven County,"Waterbury, CT PMSA",40,Connecticut,CT,526,711,881,1098,1231
9,15,9240,8878,Windham County,"Worcester, MA--CT PMSA",40,Connecticut,CT,549,663,827,1033,1158
9,3,10000,2012,Hartford County,,40,Connecticut,CT,399,644,727,1010,1191
9,5,10000,68569,Litchfield County,,40,Connecticut,CT,463,631,842,1050,1196
